YEAR,MO,DY,T2M,QV2M
2016,6,19,29.83,18.19
2016,6,20,30.4,17.64
2016,6,21,31.33,16.66
2016,6,22,31.17,17.27
2016,6,23,31.34,17.88
2016,6,24,27.3,19.1
2016,6,25,28.08,18.68
2016,6,26,27.52,18.37
2016,6,27,28.3,18.13
2016,6,28,26.15,19.04
2016,6,29,27.88,20.02
2016,6,30,27.77,19.9
2016,7,1,27,18.25
2016,7,2,27.01,19.23
2016,7,3,26.74,19.35
2016,7,4,26.46,18.92
2016,7,5,26.79,18.8
2016,7,6,27.31,18.49
2016,7,7,26.63,18.19
2016,7,8,26.13,18.13
2016,7,9,25.04,17.94
2016,7,10,25.31,18.25
2016,7,11,25.2,18.8
2016,7,12,25.87,18.37
2016,7,13,26.61,18.68
2016,7,14,27.86,18.74
2016,7,15,27.51,18.92
2016,7,16,26.82,18.49
2016,7,17,26.94,18.19
2016,7,18,26.53,18.19
2016,7,19,25.97,18.25
2016,7,20,26.26,18.55
2016,7,21,26.33,19.29
2016,7,22,24.94,19.04
2016,7,23,26.21,18.43
2016,7,24,26.62,18.68
2016,7,25,26.42,19.23
2016,7,26,26.62,19.29
2016,7,27,26.54,19.1
2016,7,28,26.28,18.86
2016,7,29,26.68,19.1
2016,7,30,26.14,19.04
2016,7,31,25.28,18.8
2016,8,1,25.84,19.23
2016,8,2,25.48,18.92
2016,8,3,25.4,18.8
2016,8,4,26.01,18.98
2016,8,5,25.59,18.92
2016,8,6,26.12,18.86
2016,8,7,25.39,18.43
2016,8,8,26.05,18.31
2016,8,9,26.26,18.68
2016,8,10,25.64,18.49
2016,8,11,26.26,18.55
2016,8,12,25.8,18.37
2016,8,13,26.49,18.86
2016,8,14,26.33,18.62
2016,8,15,25.59,17.82
2016,8,16,26.05,17.76
2016,8,17,25.05,17.58
2016,8,18,25.61,17.52
2016,8,19,25.93,17.03
2016,8,20,26.01,16.91
2016,8,21,26.47,17.52
2016,8,22,26.84,17.82
2016,8,23,26.43,18.31
2016,8,24,27.01,18.19
2016,8,25,26.49,18.68
2016,8,26,26.44,18.43
2016,8,27,25.24,18.07
2016,8,28,27.26,18.68
2016,8,29,28.1,19.53
2016,8,30,26.95,20.02
2016,8,31,25.81,19.1
2016,9,1,25.84,18.62
2016,9,2,25.54,18.13
2016,9,3,25.38,17.94
2016,9,4,24.89,17.03
2016,9,5,24.51,16.3
2016,9,6,24.39,15.87
2016,9,7,24.29,15.87
2016,9,8,24.88,16.66
2016,9,9,24.82,17.4
2016,9,10,25.27,18.25
2016,9,11,25.13,18.25
2016,9,12,24.35,18.19
2016,9,13,24.41,18.62
2016,9,14,25.15,19.1
2016,9,15,26.01,19.53
2016,9,16,26.3,19.65
2016,9,17,26.49,19.1
2016,9,18,25.73,18.19
2016,9,19,25.55,18.37
2016,9,20,26.08,19.17
2016,9,21,25.95,19.35
2016,9,22,26.15,19.23
2016,9,23,25.58,19.35
2016,9,24,25.76,19.59
2016,9,25,24.96,19.1
2016,9,26,25.49,19.23
2016,9,27,25.26,19.23
2016,9,28,25.58,18.31
2016,9,29,25.69,18.43
2016,9,30,24.37,18.49
2016,10,1,25.4,19.53
2016,10,2,25.76,18.8
2016,10,3,25.76,18.55
2016,10,4,25.64,18.01
2016,10,5,25.33,18.13
2016,10,6,25.3,18.13
2016,10,7,25.12,18.19
2016,10,8,24.96,18.8
2016,10,9,25.07,18.25
2016,10,10,25.35,17.88
2016,10,11,25.13,17.4
2016,10,12,24.41,16.11
2016,10,13,23.12,13.49
2016,10,14,23.08,12.02
2016,10,15,23.69,11.84
2016,10,16,23.62,12.45
2016,10,17,23.44,12.08
2016,10,18,22.69,11.66
2016,10,19,23.37,11.9
2016,10,20,22.33,12.02
2016,10,21,22.66,11.47
2016,10,22,22.83,11.41
2016,10,23,22.75,11.72
2016,10,24,21.79,12.88
2016,10,25,21.71,12.57
2016,10,26,21.69,12.33
2016,10,27,20.83,11.78
2016,10,28,20.36,11.6
2016,10,29,21.98,13.85
2016,10,30,22.4,14.59
2016,10,31,21.37,12.76
2016,11,1,20.62,12.15
2016,11,2,20.66,12.33
2016,11,3,21.01,13
2016,11,4,21.57,13.55
2016,11,5,22.37,14.28
2016,11,6,22,12.27
2016,11,7,20.52,9.09
2016,11,8,20.33,9.4
2016,11,9,20.83,8.97
2016,11,10,19.44,8.54
2016,11,11,19.12,8.36
2016,11,12,18.44,9.03
2016,11,13,19.44,10.5
2016,11,14,20.26,11.78
2016,11,15,20.42,12.51
2016,11,16,19.94,12.21
2016,11,17,18.88,10.38
2016,11,18,18.43,9.16
2016,11,19,19.47,9.77
2016,11,20,19.77,9.83
2016,11,21,19.98,9.58
2016,11,22,19.91,9.4
2016,11,23,19.51,8.73
2016,11,24,19.16,9.09
2016,11,25,19.07,8.91
2016,11,26,20.23,8
2016,11,27,20.58,7.75
2016,11,28,20.29,8
2016,11,29,20.61,8.36
2016,11,30,20.19,8.91
2016,12,1,20.24,10.13
2016,12,2,19.96,10.86
2016,12,3,20.86,11.84
2016,12,4,20.95,11.29
2016,12,5,19.86,10.31
2016,12,6,19.31,9.34
2016,12,7,18.72,8.85
2016,12,8,18.88,7.69
2016,12,9,17.54,6.65
2016,12,10,17.54,7.26
2016,12,11,17.34,7.69
2016,12,12,18.48,8.06
2016,12,13,19.64,8.54
2016,12,14,19.78,10.07
2016,12,15,19.94,8.67
2016,12,16,19.65,8.36
2016,12,17,19.69,7.14
2016,12,18,18.93,6.59
2016,12,19,17.86,6.59
2016,12,20,18.46,6.16
2016,12,21,19.55,5.86
2016,12,22,19.51,5.49
2016,12,23,18.62,5
2016,12,24,19.84,5.31
2016,12,25,20.06,5.92
2016,12,26,19.8,5.68
2016,12,27,16.9,5.07
2016,12,28,17.42,6.47
2016,12,29,18.85,6.71
2016,12,30,20.49,6.77
2016,12,31,21.21,6.35
2017,1,1,21.08,7.45
2017,1,2,20.9,7.39
2017,1,3,18.23,5.74
2017,1,4,18.11,6.1
2017,1,5,19.27,6.53
2017,1,6,20.04,5.92
2017,1,7,20.88,5.92
2017,1,8,20.79,6.77
2017,1,9,22.32,8.97
2017,1,10,20.96,7.45
2017,1,11,18.59,5.92
2017,1,12,17.02,4.76
2017,1,13,17.58,4.64
2017,1,14,18.19,5.68
2017,1,15,19.84,5.74
2017,1,16,21.12,5.43
2017,1,17,21.86,6.41
2017,1,18,22.06,6.29
2017,1,19,21.37,6.59
2017,1,20,20.74,6.71
2017,1,21,22.12,6.9
2017,1,22,23.22,6.96
2017,1,23,23.32,6.71
2017,1,24,22.78,6.23
2017,1,25,22.48,6.35
2017,1,26,23.07,6.47
2017,1,27,24.51,7.14
2017,1,28,22.08,6.41
2017,1,29,22.13,4.58
2017,1,30,23.91,3.91
2017,1,31,24.37,3.85
2017,2,1,24.39,4.46
2017,2,2,23.69,5.62
2017,2,3,23.44,6.1
2017,2,4,24.65,5
2017,2,5,24.98,4.03
2017,2,6,24.21,4.82
2017,2,7,23.77,4.7
2017,2,8,24.97,4.76
2017,2,9,25.86,4.64
2017,2,10,25.44,5.19
2017,2,11,25.23,6.41
2017,2,12,24.84,7.32
2017,2,13,25.19,8.3
2017,2,14,25.59,7.87
2017,2,15,25.49,6.71
2017,2,16,25.61,5.25
2017,2,17,25.75,4.82
2017,2,18,26.75,5
2017,2,19,26.96,4.33
2017,2,20,28.71,3.6
2017,2,21,28.88,3.91
2017,2,22,28.05,3.97
2017,2,23,27.87,4.09
2017,2,24,25.85,2.93
2017,2,25,25.21,2.08
2017,2,26,27.06,2.38
2017,2,27,27.87,3.05
2017,2,28,27.1,3.42
2017,3,1,27.59,3.78
2017,3,2,27.9,4.82
2017,3,3,28.54,5.13
2017,3,4,28.33,4.46
2017,3,5,28.28,5.31
2017,3,6,27.96,4.94
2017,3,7,28.92,6.77
2017,3,8,28.08,5.25
2017,3,9,28.65,5.43
2017,3,10,28.63,5.43
2017,3,11,27.45,5.8
2017,3,12,25.33,3.05
2017,3,13,25.35,2.62
2017,3,14,26.37,4.03
2017,3,15,27.68,5.37
2017,3,16,26.19,10.86
2017,3,17,27.19,10.5
2017,3,18,27.85,6.84
2017,3,19,28.07,7.57
2017,3,20,27.51,7.32
2017,3,21,27.95,5.49
2017,3,22,29.74,5
2017,3,23,30.24,5.55
2017,3,24,31.89,6.77
2017,3,25,33.24,6.71
2017,3,26,33.18,5.98
2017,3,27,32.55,6.47
2017,3,28,33.04,6.53
2017,3,29,33.49,6.35
2017,3,30,34.07,7.14
2017,3,31,34.52,6.96
2017,4,1,35.13,6.9
2017,4,2,34.55,6.53
2017,4,3,34.32,6.29
2017,4,4,34.16,8.48
2017,4,5,34.14,7.81
2017,4,6,34.44,6.84
2017,4,7,34.14,6.41
2017,4,8,33.35,4.39
2017,4,9,33.43,2.75
2017,4,10,31.95,2.38
2017,4,11,32.04,1.95
2017,4,12,32.68,2.2
2017,4,13,33.83,2.56
2017,4,14,33.79,4.33
2017,4,15,33.8,4.46
2017,4,16,35.14,3.91
2017,4,17,35.39,4.15
2017,4,18,35.62,4.21
2017,4,19,35.35,4.39
2017,4,20,34.94,4.33
2017,4,21,34.87,5.25
2017,4,22,34.93,5.37
2017,4,23,34.14,5.49
2017,4,24,33.39,5.19
2017,4,25,33.38,5.74
2017,4,26,34.16,5.31
2017,4,27,34.71,4.94
2017,4,28,34.43,4.46
2017,4,29,34.9,5.31
2017,4,30,34.97,6.71
2017,5,1,34.48,8.36
2017,5,2,35.19,8.91
2017,5,3,35.84,9.22
2017,5,4,36.88,8.97
2017,5,5,37.69,7.2
2017,5,6,37.75,6.96
2017,5,7,36.51,7.87
2017,5,8,36.12,9.64
2017,5,9,35.3,9.28
2017,5,10,35.22,12.02
2017,5,11,35.19,11.9
2017,5,12,36,10.93
2017,5,13,37.35,10.38
2017,5,14,37.43,11.17
2017,5,15,38.29,10.62
2017,5,16,38.65,9.89
2017,5,17,36.74,9.34
2017,5,18,37.08,7.75
2017,5,19,37.81,7.14
2017,5,20,37.02,6.65
2017,5,21,37.05,6.71
2017,5,22,37.11,7.87
2017,5,23,37.19,7.45
2017,5,24,37.91,7.02
2017,5,25,38.66,9.52
2017,5,26,37.7,11.47
2017,5,27,37.86,12.57
2017,5,28,35.2,16.17
2017,5,29,34.92,15.38
2017,5,30,35.37,13.85
2017,5,31,33.91,15.69
2017,6,1,35.86,15.01
2017,6,2,35.23,14.22
2017,6,3,36.09,14.95
2017,6,4,36.24,14.77
2017,6,5,35.67,15.69
2017,6,6,32.3,16.85
2017,6,7,30.08,17.52
2017,6,8,28.3,17.88
2017,6,9,28.82,18.31
2017,6,10,29.44,18.25
2017,6,11,28.9,18.8
2017,6,12,28.65,18.55
2017,6,13,28.54,18.86
2017,6,14,29.15,18.8
2017,6,15,28.01,18.43
2017,6,16,27.18,18.37
2017,6,17,27.21,18.13
2017,6,18,30.01,17.76
2017,6,19,30.24,17.4
2017,6,20,30,17.52
2017,6,21,30.06,17.52
2017,6,22,29.8,18.07
2017,6,23,29.58,18.37
2017,6,24,29.35,18.31
2017,6,25,28.58,18.25
2017,6,26,27.27,18.31
2017,6,27,26.87,17.88
2017,6,28,27.87,17.58
2017,6,29,28.37,17.88
2017,6,30,27.5,18.43
2017,7,1,27.79,17.82
2017,7,2,28.37,17.82
2017,7,3,28.01,17.76
2017,7,4,27.71,17.4
2017,7,5,26.87,16.97
2017,7,6,28.07,17.58
2017,7,7,28.73,17.4
2017,7,8,28.98,16.72
2017,7,9,28.95,17.15
2017,7,10,27.65,18.25
2017,7,11,27.4,17.33
2017,7,12,27.82,17.09
2017,7,13,27.6,17.88
2017,7,14,26.79,18.37
2017,7,15,27.15,18.19
2017,7,16,26.29,17.76
2017,7,17,26.28,18.13
2017,7,18,25.53,19.29
2017,7,19,26.17,18.37
2017,7,20,26.51,19.71
2017,7,21,27.42,19.17
2017,7,22,27.71,18.37
2017,7,23,26.91,18.07
2017,7,24,26.37,18.31
2017,7,25,26.88,18.07
2017,7,26,26.98,17.76
2017,7,27,26.46,17.88
2017,7,28,27.05,18.43
2017,7,29,27.65,18.55
2017,7,30,27.9,18.31
2017,7,31,27.83,18.49
2017,8,1,28.08,18.86
2017,8,2,27.15,18.86
2017,8,3,27.21,17.94
2017,8,4,26.33,17.27
2017,8,5,25.91,17.82
2017,8,6,26.86,17.7
2017,8,7,26.46,18.07
2017,8,8,25.65,18.07
2017,8,9,26.36,17.94
2017,8,10,27.42,18.07
2017,8,11,27.73,18.25
2017,8,12,26.42,17.88
2017,8,13,26.11,17.76
2017,8,14,25.23,17.7
2017,8,15,26.45,17.58
2017,8,16,26.44,17.94
2017,8,17,26.73,18.13
2017,8,18,25.05,18.13
2017,8,19,26.01,19.71
2017,8,20,26.33,18.92
2017,8,21,24.76,16.97
2017,8,22,26.22,16.48
2017,8,23,26.58,17.82
2017,8,24,26.47,18.31
2017,8,25,26.17,18.92
2017,8,26,25.67,19.04
2017,8,27,26.26,19.78
2017,8,28,26.07,19.78
2017,8,29,25.44,18.49
2017,8,30,26.7,17.88
2017,8,31,27.28,18.49
2017,9,1,26.81,17.88
2017,9,2,26.73,17.27
2017,9,3,27.34,18.01
2017,9,4,27.12,18.86
2017,9,5,27.07,19.41
2017,9,6,27.28,19.23
2017,9,7,27.34,18.86
2017,9,8,27.35,19.1
2017,9,9,27.4,19.1
2017,9,10,27.51,18.74
2017,9,11,27.71,19.35
2017,9,12,27.17,18.98
2017,9,13,26.2,19.23
2017,9,14,26.15,18.74
2017,9,15,26.24,18.74
2017,9,16,26.69,19.1
2017,9,17,26.22,19.29
2017,9,18,25.31,18.74
2017,9,19,25.9,18.62
2017,9,20,26.46,18.98
2017,9,21,26.17,19.04
2017,9,22,25.79,17.94
2017,9,23,26.29,17.82
2017,9,24,26.33,17.7
2017,9,25,26.51,18.19
2017,9,26,26.43,18.55
2017,9,27,26.55,18.37
2017,9,28,26.55,18.74
2017,9,29,26.44,18.43
2017,9,30,26.84,17.94
2017,10,1,27.05,17.4
2017,10,2,26.63,18.37
2017,10,3,26.72,17.94
2017,10,4,26.47,16.36
2017,10,5,26.24,17.4
2017,10,6,26.33,19.17
2017,10,7,26.43,18.98
2017,10,8,26.19,18.98
2017,10,9,25.68,18.92
2017,10,10,25.67,18.92
2017,10,11,26.23,18.25
2017,10,12,26.8,18.19
2017,10,13,26.66,18.49
2017,10,14,26.37,18.86
2017,10,15,26.54,18.55
2017,10,16,26.6,16.72
2017,10,17,25.91,14.1
2017,10,18,24.8,13.73
2017,10,19,24.52,13.37
2017,10,20,26,16.17
2017,10,21,26.72,17.82
2017,10,22,27.01,18.01
2017,10,23,26.54,15.26
2017,10,24,24.3,10.31
2017,10,25,24.85,10.01
2017,10,26,24.84,10.07
2017,10,27,25.23,12.15
2017,10,28,25.28,11.54
2017,10,29,24.26,12.02
2017,10,30,23.87,11.11
2017,10,31,23.79,10.56
2017,11,1,22.97,10.5
2017,11,2,22.49,10.93
2017,11,3,22.89,10.5
2017,11,4,21.85,10.13
2017,11,5,22.87,11.66
2017,11,6,22.61,10.5
2017,11,7,22.54,10.86
2017,11,8,22.83,10.86
2017,11,9,22.83,10.5
2017,11,10,22.21,10.01
2017,11,11,21.44,9.16
2017,11,12,21.17,9.22
2017,11,13,21.73,10.25
2017,11,14,23.8,13.43
2017,11,15,25.23,14.04
2017,11,16,24.4,13.37
2017,11,17,24.48,13.24
2017,11,18,25.22,12.51
2017,11,19,24.98,12.76
2017,11,20,25.19,12.88
2017,11,21,25.54,13.24
2017,11,22,25.59,14.53
2017,11,23,25.1,13.31
2017,11,24,23.77,11.23
2017,11,25,21.82,8.54
2017,11,26,20.81,7.32
2017,11,27,20.24,6.96
2017,11,28,20.68,6.47
2017,11,29,20.5,7.2
2017,11,30,20.92,6.96
2017,12,1,20.83,7.32
2017,12,2,20.3,7.51
2017,12,3,19.83,7.26
2017,12,4,20.03,7.57
2017,12,5,20.59,8.24
2017,12,6,21.7,8.97
2017,12,7,22.62,7.87
2017,12,8,22,8.12
2017,12,9,21.94,8.61
2017,12,10,20.57,5.8
2017,12,11,21.04,6.04
2017,12,12,22.14,5.98
2017,12,13,22.59,6.84
2017,12,14,22.73,7.69
2017,12,15,22.31,7.39
2017,12,16,22.11,8
2017,12,17,22.3,8.67
2017,12,18,20.91,6.96
2017,12,19,19.78,4.58
2017,12,20,19.86,5
2017,12,21,18.82,6.41
2017,12,22,20.6,6.77
2017,12,23,20.57,7.08
2017,12,24,21.26,6.77
2017,12,25,21.56,5.92
2017,12,26,19.43,4.15
2017,12,27,18.91,3.66
2017,12,28,19.4,4.33
2017,12,29,20.54,4.39
2017,12,30,20.66,5.13
2017,12,31,20.44,5.07
2018,1,1,20.66,4.94
2018,1,2,20.14,5.74
2018,1,3,19.97,5.49
2018,1,4,19.76,4.21
2018,1,5,20.3,4.46
2018,1,6,20.33,4.76
2018,1,7,20.61,5.19
2018,1,8,19.76,5.62
2018,1,9,19.35,4.52
2018,1,10,20.33,4.33
2018,1,11,21.79,4.39
2018,1,12,23.65,4.39
2018,1,13,23.3,4.46
2018,1,14,23.35,5.49
2018,1,15,24.12,6.71
2018,1,16,23.76,5.31
2018,1,17,22.87,4.58
2018,1,18,21.42,3.85
2018,1,19,20.93,3.17
2018,1,20,21.42,3.36
2018,1,21,22.45,3.78
2018,1,22,21.47,4.52
2018,1,23,22.98,5.92
2018,1,24,22.01,5.19
2018,1,25,19.98,2.14
2018,1,26,19.71,1.71
2018,1,27,20.91,2.08
2018,1,28,20.81,3.11
2018,1,29,21.66,3.3
2018,1,30,23.43,3.17
2018,1,31,24.13,2.87
2018,2,1,23.43,2.69
2018,2,2,24.49,2.56
2018,2,3,23.67,3.17
2018,2,4,24.02,5.07
2018,2,5,25.09,5.68
2018,2,6,24.69,6.41
2018,2,7,25.01,6.1
2018,2,8,25.19,5.49
2018,2,9,25.12,4.82
2018,2,10,23.69,4.58
2018,2,11,26.02,7.87
2018,2,12,26.17,9.64
2018,2,13,25.19,11.23
2018,2,14,23.59,11.72
2018,2,15,22.35,7.32
2018,2,16,22.22,5.43
2018,2,17,23.48,5.43
2018,2,18,24.73,5.49
2018,2,19,25.58,5.68
2018,2,20,26.26,7.14
2018,2,21,27.09,7.69
2018,2,22,26.87,6.77
2018,2,23,27.3,6.65
2018,2,24,27.76,6.84
2018,2,25,27.82,5.98
2018,2,26,28.82,6.23
2018,2,27,28.26,6.04
2018,2,28,27.83,4.39
2018,3,1,28.53,4.7
2018,3,2,29.94,5.37
2018,3,3,30.45,5.43
2018,3,4,30.51,5.55
2018,3,5,30.08,5.07
2018,3,6,29.32,5.43
2018,3,7,29.45,6.16
2018,3,8,29.36,6.65
2018,3,9,29.59,6.47
2018,3,10,30.08,6.59
2018,3,11,29.96,7.26
2018,3,12,30.34,7.39
2018,3,13,30.01,7.02
2018,3,14,31.15,5.74
2018,3,15,30.64,6.35
2018,3,16,27.2,9.46
2018,3,17,27.29,9.64
2018,3,18,29.17,7.75
2018,3,19,30.3,7.39
2018,3,20,30.69,7.87
2018,3,21,31.58,7.69
2018,3,22,30.3,5.49
2018,3,23,29.56,4.27
2018,3,24,30.22,4.52
2018,3,25,30.29,4.33
2018,3,26,31.02,3.78
2018,3,27,32.02,3.72
2018,3,28,32.62,3.85
2018,3,29,31.31,3.48
2018,3,30,32.77,3.36
2018,3,31,33.04,6.16
2018,4,1,32.93,8.91
2018,4,2,32.06,5.43
2018,4,3,32.04,8.42
2018,4,4,33,7.57
2018,4,5,33.37,7.75
2018,4,6,32.83,8.3
2018,4,7,33.9,8.3
2018,4,8,31.96,10.38
2018,4,9,32.41,9.7
2018,4,10,32.98,9.95
2018,4,11,32.63,10.38
2018,4,12,33.52,9.7
2018,4,13,33.96,9.34
2018,4,14,34.75,9.77
2018,4,15,34.47,11.05
2018,4,16,34.91,10.38
2018,4,17,36.21,9.64
2018,4,18,36.39,7.87
2018,4,19,35.19,4.64
2018,4,20,35.05,5.31
2018,4,21,34.69,6.04
2018,4,22,35.14,5.98
2018,4,23,35.04,5.13
2018,4,24,34.25,4.21
2018,4,25,33.7,7.45
2018,4,26,34.98,7.75
2018,4,27,36.05,7.63
2018,4,28,35.95,7.75
2018,4,29,37.14,7.02
2018,4,30,36.3,6.29
2018,5,1,37.06,7.51
2018,5,2,36.87,8.48
2018,5,3,36.57,11.41
2018,5,4,35.6,11.96
2018,5,5,36.65,10.62
2018,5,6,36.87,11.47
2018,5,7,36.76,10.19
2018,5,8,36.77,7.26
2018,5,9,36.58,7.08
2018,5,10,36.77,11.17
2018,5,11,37.38,10.07
2018,5,12,37.68,9.64
2018,5,13,36.37,9.22
2018,5,14,36.19,10.38
2018,5,15,35.53,10.8
2018,5,16,36.55,9.58
2018,5,17,37.28,9.22
2018,5,18,37.8,9.77
2018,5,19,37.62,7.26
2018,5,20,37.01,8.67
2018,5,21,36.89,11.05
2018,5,22,35.53,12.76
2018,5,23,36.63,12.21
2018,5,24,36.97,10.25
2018,5,25,37.05,8.54
2018,5,26,37.08,11.84
2018,5,27,33.97,15.26
2018,5,28,35.52,13.61
2018,5,29,37.23,12.15
2018,5,30,37.93,12.02
2018,5,31,35.86,13.79
2018,6,1,33.06,16.11
2018,6,2,30.3,16.6
2018,6,3,33.32,15.56
2018,6,4,33.46,15.14
2018,6,5,32.51,15.75
2018,6,6,31.82,17.76
2018,6,7,29.31,19.04
2018,6,8,29.01,19.04
2018,6,9,27.76,18.31
2018,6,10,27.68,18.92
2018,6,11,28.15,19.71
2018,6,12,28.28,18.31
2018,6,13,30.22,17.52
2018,6,14,31.25,17.21
2018,6,15,31.04,16.05
2018,6,16,30.94,14.89
2018,6,17,30.44,14.83
2018,6,18,29.2,16.85
2018,6,19,29.93,17.64
2018,6,20,30.28,18.01
2018,6,21,29.38,19.04
2018,6,22,29.37,17.15
2018,6,23,28.96,18.19
2018,6,24,27.95,17.7
2018,6,25,29.16,16.54
2018,6,26,28.53,16.6
2018,6,27,26.44,18.37
2018,6,28,25.69,18.25
2018,6,29,27.62,17.21
2018,6,30,28.93,16.54
2018,7,1,28.8,17.27
2018,7,2,28.27,17.15
2018,7,3,27.63,17.15
2018,7,4,27.17,17.15
2018,7,5,26.66,18.25
2018,7,6,25.49,18.37
2018,7,7,25.41,18.31
2018,7,8,25.8,19.71
2018,7,9,25.28,18.8
2018,7,10,24.94,17.76
2018,7,11,25.25,17.88
2018,7,12,25.5,18.62
2018,7,13,25.78,17.64
2018,7,14,26.22,18.37
2018,7,15,26.37,18.98
2018,7,16,26.17,19.23
2018,7,17,25.83,18.31
2018,7,18,26.44,18.13
2018,7,19,26.81,18.74
2018,7,20,25.21,18.43
2018,7,21,25.58,18.07
